account_id,awg_engagement_rate,is_verified,followers,following,likes,videos_count
a.r.m.y664,0.04962963,FALSE,1755,1443,1586,20
a2_9r,0.059322034,FALSE,354,1422,3843,225
ti.po.check,0.001399417,FALSE,1960,243,24000,228
nutrifersanort,0.469767442,FALSE,43,41,100,5
bhgdee,0.122282609,FALSE,276,2262,126,4
preyah_,0.008075522,FALSE,108200,385,2000000,462
anastasiaashley,0.001782736,TRUE,871100,268,9000000,688
_sanek__56rus,0.00570593,FALSE,3701,2961,1667,75
_rinm,0.35,FALSE,16,91,26,5
_k_1_ji_ji_e_ip__,0.476190476,FALSE,14,116,18,3
xrb_010,0.180569948,FALSE,1737,76,31300,21
soyon_on_fire,0.013430282,FALSE,1336,1233,1025,36
laurenwolfe,0.080565943,TRUE,1000000,786,92300000,1117
mybeautifulfantasy,0.002668111,FALSE,6231,4459,29500,301
itshoneydone,0.054739548,FALSE,288400,120,2300000,334
curlyheadkay3,0.185317282,FALSE,40400,1132,248700,33
ryanmarkparsons,0.019008384,TRUE,131900,69,4400000,287
a3536363773,6.25,FALSE,144,151,8064,10
a.oakley03,0.187913907,FALSE,755,5481,10100,16
_lipsticklinz,0.022765458,FALSE,80400,328,591400,231
lottaavacada,0.932520499,FALSE,33000,183,1100000,37
1305.daniel,0.632828328,FALSE,2231,878,49500,25
dkanik34,0.051738738,FALSE,1042,1423,1717,34
jessicaw521,0.045433463,FALSE,1694,1673,2387,28
nbut_tia,0.13042191,FALSE,579,318,5115,65
jessica.m084,0.005311355,FALSE,31200,1322,702900,55
jessoz0,1.270833333,FALSE,6,1,60,8
jesuthasanjesu344gmail.c,0.072133072,FALSE,1460,99,8546,65
dream_boy__777,0.049901835,FALSE,6767,1077,58400,296
ladybug.223,0.002440816,FALSE,10500,1014,15700,715
manatan0127,0.005425028,FALSE,88700,119,987600,667
bhawaniyogi165,0.003414815,FALSE,27000,34,85800,47
grayson__o,6.713305527,FALSE,27400,1646,2500000,15
_salinasincerely,0.041345543,FALSE,11700,1056,118300,405
divya_angural786,0.004803571,FALSE,16000,9,163800,940
baubleandbeam,0.017233962,FALSE,2258,74,3274,38
fabioygeh,0.18092918,FALSE,821,94,11600,76
avs2704,0.626879699,FALSE,133,973,889,8
farahn75,0.024047157,FALSE,20600,451,122000,274
ummylkheiry,0.000963492,FALSE,72000,617,360400,1801
electrony,0.01816449,FALSE,346700,3,5000000,514
lisababy21_,1.679216867,FALSE,83,52,1235,8
simobmd10,0.000412869,FALSE,42600,124,430000,1473
1musictay,0.1252883,FALSE,14400,118,181900,132
hdpsoyyoxd,0.704,FALSE,75,146,256,5
dfzg242,0.265306122,FALSE,49,129,54,1
lpo_tuv,0.089021816,FALSE,196,462,460,29
lovewanda33,0.016643958,FALSE,4089,9658,10100,200
thelaundryspot,0.000925646,FALSE,217300,125,3400000,116
blandine_ytb,0.03915416,FALSE,45500,369,1000000,334
lifesimmings200,0.001773061,FALSE,17600,168,212300,2821
lyllistapper,0.018054621,FALSE,2400000,570,82100000,300
syedsmarts,0.038502845,FALSE,3122,34,31900,237
bamsbambi,0.613153685,FALSE,9030,45,49600,9
dr.stov,0.021269561,FALSE,9074,1884,80900,3
viperajlx,0.034911478,FALSE,457,10000,300,22
vavamah,0.154269929,FALSE,18100,9799,213600,98
dead.flower_,0.001371285,FALSE,39900,11,1771,22
larosalia2002,0.11862035,FALSE,180200,215,4000000,143
d_e_s_i_c_h_o_r_a_,0.00444898,FALSE,7000,53,197300,988
x_dristawastaken_x,0.025271493,FALSE,10400,6379,342000,389
skdladiesfashionwear,0.048639936,FALSE,709,58,7666,152
crimes4ranboo,0.25387358,FALSE,4728,721,103700,42
andysuzukii,0.066682752,FALSE,468700,278,5100000,377
bylilibet,0.001604907,FALSE,68700,427,2300000,1401
brandyngrams,0.000436704,FALSE,80800,3894,1300000,421
bobemad.o,0.012253582,FALSE,65800,45,355300,121
pipilovepink,0.014687233,FALSE,60200,77,259700,182
albertbarrientos3,0.367702479,FALSE,24200,10000,109500,6
michallaxoxo,0.358103562,FALSE,38900,900,579100,119
sukhpalc1,0.462960809,FALSE,11300,17,247200,77
nwr179,0.287234043,FALSE,94,127,22,1
gneaxb_788,0.094527363,FALSE,201,718,16,1
sivapavi36,0.231690141,FALSE,568,5945,1303,10
sitiomusical,0.02449465,FALSE,106800,211,1100000,534
tot_t893,0.079909177,FALSE,3775,491,10100,36
seanyforreal,0.070369284,FALSE,90600,1,400200,38
mrskarib,0.022443516,FALSE,1300000,1251,68500000,1649
billa.0039,0.272099861,FALSE,10300,27,180800,270
nbeil10,0.032124352,FALSE,193,5440,42,5
nea._nea._,1.643347051,FALSE,243,83,4727,12
ndjfjgkdfkgfcefgtfrfrf_3,0.195154553,FALSE,342,1911,2773,51
wissam_albokai,0.011389875,FALSE,911000,217,20400000,970
user594924259710,0.023672231,FALSE,3295,6569,3435,46
user582gf34ov5,0.055512271,FALSE,151,129,485,56
0ll5eee,0.424725275,FALSE,91,300,716,20
0qqh1,2.892857143,FALSE,14,63,41,2
noopur.biswas84gm,0.000715615,FALSE,96700,80,385600,1415
kaylahsuzannepage,0.092168012,FALSE,25900,165,456100,51
sydneypaschall,0.081455747,FALSE,5232,605,58400,142
improvvlove,0.297837275,FALSE,15100,54,1200000,166
bs_935,0.24689441,FALSE,92,89,158,14
bs_495,0.316742081,FALSE,51,59,191,13
er.graciee,0.005826087,FALSE,11500,1507,234600,317
awanzada410,0.073732719,FALSE,775,123,33300,869
avwxyzc,0.127696125,FALSE,169,115,6695,652
ndangoo,0.000303603,FALSE,55900,87,154100,735
user46obyhbn3o,0.083694084,FALSE,231,447,57,3
ica_poetry.reaal,0.120004521,FALSE,8848,9,17200,15
dyer2uxsx2np,0.005909774,FALSE,3800,10000,1143,44
nayacce0712,0.011062486,FALSE,7149,5766,78000,593
dnginfluencers,0.007994779,FALSE,2043,64,2442,3
maggievillamaria,0.03068704,FALSE,12800,707,317300,605
alfredinho.alfred,0.024883235,FALSE,65700,127,621200,114
